timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
951678103,15800481,30.6571691,-84.20851950000001,250.84138,918.46106,-78.036835,0.0013574644,-0.0026631723,0.0,0.23765044,3.615763,0.018149178,-0.01835991,0.01501895,-0.009971928,0.07579388,-0.32393214,1.2476058,-3.5337572,1.4752128,64.34459,74.78177,-0.018149178,0.19020915,0.61144155,0.117275186,0.12791775,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
951782068,15800481,30.6571691,-84.20851950000001,250.86356,918.8403,-78.03537,0.0013574644,-0.0026631723,0.0,0.23023237,3.6146977,0.06918917,0.032521993,0.01501895,-0.009971928,0.07579388,1.4727417,6.093414,-0.15613908,1.47578,64.34459,74.780304,-0.06918917,0.19056393,0.61153424,0.11737208,0.12799083,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
951878068,15800481,30.6571691,-84.20851950000001,250.88332,919.1894,-78.031906,0.0013574644,-0.0026631723,0.0,0.21897388,3.5846646,0.098499194,0.061226383,0.01501895,-0.009971928,0.07579388,-1.0110909,-2.3887496,-2.3833156,1.4786083,64.34459,74.77684,-0.098499194,0.1901384,0.61212826,0.11709001,0.12795724,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
951981299,15800481,30.6571691,-84.20851950000001,250.90338,919.5615,-78.023384,0.0013574644,-0.0026631723,0.0,0.21532814,3.5548546,0.10862974,0.072669245,0.01501895,-0.009971928,0.07579388,2.869033,-0.06558783,-1.6468747,1.4818648,64.34459,74.76832,-0.10862974,0.19049631,0.6122185,0.117217645,0.1280291,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
952085274,15800481,30.6571691,-84.20851950000001,250.92137,919.9317,-78.016556,0.0013574644,-0.0026631723,0.0,0.17978658,3.483198,0.07440214,0.03848309,0.01501895,-0.009971928,0.07579388,-4.548733,-0.42518896,-0.2331763,1.4849731,64.34459,74.76149,-0.07440214,0.19081095,0.6122507,0.11725695,0.12809874,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
952189283,15800481,30.6571691,-84.20851950000001,250.9369,920.29315,-78.01497,0.0013574644,-0.0026631723,0.0,0.1646586,3.3752816,0.0757796,0.0368085,0.01501895,-0.009971928,0.07579388,-0.71686316,-2.7047563,1.1589824,1.48767,64.34459,74.7599,-0.0757796,0.1911135,0.6123395,0.11746363,0.12816378,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
952288468,15800481,30.6571691,-84.20851950000001,250.94841,920.62256,-78.016045,0.0013574644,-0.0026631723,0.0,0.13331719,3.2194939,0.066678815,0.024834054,0.01501895,-0.009971928,0.07579388,-0.25817564,-0.42943597,4.0422955,1.4896536,64.34459,74.76098,-0.066678815,0.1907511,0.61184573,0.117323875,0.12805478,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
952392472,15800481,30.6571691,-84.20851950000001,250.95665,920.9485,-78.02218,0.0013574644,-0.0026631723,0.0,0.10748244,3.0166936,0.025897957,-0.021044657,0.01501895,-0.009971928,0.07579388,-0.7378331,-1.9169492,-3.6348279,1.4904767,64.34459,74.76711,-0.025897957,0.19111492,0.61194336,0.11758636,0.12811738,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
952496467,15800481,30.6571691,-84.20851950000001,250.96223,921.2524,-78.02495,0.0013574644,-0.0026631723,0.0,0.092240304,2.8163087,0.05467128,0.0057879947,0.01501895,-0.009971928,0.07579388,0.52925026,-0.89889437,-3.4381876,1.491672,64.34459,74.76988,-0.05467128,0.1917643,0.6122744,0.11810802,0.12820141,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
952591668,15800481,30.6571691,-84.20851950000001,250.9664,921.51056,-78.02165,0.0013574644,-0.0026631723,0.0,0.08249266,2.6140957,0.0609505,0.013630518,0.01501895,-0.009971928,0.07579388,-0.7049771,-7.0584083,-1.0299222,1.4939494,64.34459,74.76659,-0.0609505,0.19141676,0.6117899,0.11804626,0.12807591,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
