timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
577382945,577382868,-0.009858708,-0.068180926,-0.010892151,0.3831582,0.0,0.0,0.0,-1.0
577435028,577434874,0.0034521627,-0.045696817,-0.006663625,0.37758943,0.0,0.0,0.0,-1.0
577486942,577486868,-0.0052782157,-0.014772492,-0.013163761,0.36255482,0.0,0.0,0.0,-1.0
577539006,577538877,-0.0045464495,-0.036733307,-0.0071648387,0.3617826,0.0,0.0,0.0,-1.0
577589437,577589316,-0.006432797,-0.02772453,-0.002304201,0.36356512,0.0,0.0,0.0,-1.0
577642150,577642068,-0.0056231176,-0.02056188,-0.008230782,0.37225032,0.0,0.0,0.0,-1.0
577694154,577694068,-0.015842943,-0.06036762,-0.0064359577,0.37615627,0.0,0.0,0.0,-1.0
577746149,577746068,-0.016528178,-0.030395068,-0.005411088,0.36954272,0.0,0.0,0.0,-1.0
577798216,577798068,0.003919164,-0.012652272,-0.007313278,0.36823955,0.0,0.0,0.0,-1.0
577850151,577850068,-0.004584212,-0.036811627,0.0061895032,0.36454424,0.0,0.0,0.0,-1.0
577901355,577901274,-0.0014654956,-0.045681525,0.00207811,0.3685134,0.0,0.0,0.0,-1.0
577953404,577953281,0.0009018555,-0.020892028,-0.0017157487,0.36839554,0.0,0.0,0.0,-1.0
578005367,578005294,0.00083067385,-0.019504512,-0.009472523,0.37026682,0.0,0.0,0.0,-1.0
578057362,578057283,-0.0106500015,-0.0694367,-0.0060868515,0.35994068,0.0,0.0,0.0,-1.0
578109403,578109314,-0.0046346188,-0.05466911,-0.0031556292,0.3523461,0.0,0.0,0.0,-1.0
578161390,578161272,0.004117675,-0.036862876,-0.01093971,0.3515026,0.0,0.0,0.0,-1.0
578217393,578217316,0.002041606,-0.047305834,-0.007646014,0.35494217,0.0,0.0,0.0,-1.0
578268550,578268475,0.012760349,-0.094120905,-0.011391989,0.337176,0.0,0.0,0.0,-1.0
578320543,578320468,0.001093915,-0.09842102,-0.013330609,0.33061612,0.0,0.0,0.0,-1.0
578372586,578372468,0.0074931905,-0.110949755,-0.017443234,0.31878865,0.0,0.0,0.0,-1.0
578424565,578424482,0.008498412,-0.13997327,-0.016394807,0.30805784,0.0,0.0,0.0,-1.0
578476578,578476468,-0.00031563052,-0.14042823,-0.012594251,0.30919182,0.0,0.0,0.0,-1.0
578532585,578532498,-0.00061294646,-0.14811881,-0.023571566,0.31151667,0.0,0.0,0.0,-1.0
578584546,578584468,-0.00012339378,-0.11858971,-0.027886497,0.31377372,0.0,0.0,0.0,-1.0
578635742,578635668,0.00037761783,-0.07521654,-0.031609558,0.31101623,0.0,0.0,0.0,-1.0
578687748,578687668,-0.011220837,-0.043413788,-0.02757044,0.31913623,0.0,0.0,0.0,-1.0
578739833,578739668,-0.010493863,-0.05348808,-0.03271566,0.31602603,0.0,0.0,0.0,-1.0
578791749,578791668,0.0036301585,-0.08873136,-0.029819217,0.33237773,0.0,0.0,0.0,-1.0
578843745,578843667,0.005188335,-0.07837257,-0.030455917,0.33424234,0.0,0.0,0.0,-1.0
578895793,578895717,0.013192539,-0.054124724,-0.030681621,0.34128517,0.0,0.0,0.0,-1.0
578946995,578946868,0.018332604,-0.04913086,-0.026544487,0.34484157,0.0,0.0,0.0,-1.0
578998966,578998875,0.002607845,-0.042475585,-0.035039965,0.34641668,0.0,0.0,0.0,-1.0
579050990,579050909,0.01638146,-0.04391197,-0.03968275,0.35594583,0.0,0.0,0.0,-1.0
579102952,579102868,0.0072151907,-0.0716338,-0.0340098,0.35165164,0.0,0.0,0.0,-1.0
579154961,579154887,0.0053859134,-0.07753735,-0.024178732,0.3536424,0.0,0.0,0.0,-1.0
