timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
527965225,-17.317762,28.5,101533.164,1.2063819
527979338,-16.318966,28.5,101521.164,1.2062393
528005132,-16.567343,28.5,101524.164,1.206275
528016877,-16.318966,28.5,101521.164,1.2062393
528029601,-16.567343,28.5,101524.164,1.206275
528054466,-16.318966,28.51,101521.19,1.2062397
528072032,-16.318966,28.51,101521.19,1.2062397
528085293,-16.572628,28.51,101524.19,1.2062753
528112878,-16.155142,28.51,101519.18,1.2062157
528125126,-16.736452,28.51,101526.19,1.2062991
528136826,-16.736452,28.51,101526.19,1.2062991
528163825,-16.572628,28.51,101524.19,1.2062753
528176916,-16.651897,28.51,101525.18,1.206287
528189980,-16.40352,28.51,101522.19,1.2062515
528215747,-16.318966,28.51,101521.19,1.2062397
528229628,-15.822209,28.51,101515.19,1.2061684
528243853,-15.986033,28.51,101517.19,1.2061921
528271304,-16.239697,28.51,101520.19,1.2062278
528284735,-16.239697,28.51,101520.19,1.2062278
528296923,-16.651897,28.51,101525.18,1.206287
528321054,-16.070587,28.519999,101518.2,1.2062042
528332865,-16.070587,28.519999,101518.2,1.2062042
528345030,-16.40352,28.519999,101522.21,1.2062519
528372703,-15.489277,28.519999,101511.21,1.2061211
528385033,-15.822209,28.519999,101515.21,1.2061687
528397979,-16.070587,28.519999,101518.2,1.2062042
