timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
1164283060,inf,0,0,0,0,0
1165292652,inf,0,0,0,0,0
1166298285,inf,0,0,0,0,0
1167299499,inf,0,0,0,0,0
1168302262,inf,0,0,0,0,0
1169324271,inf,0,0,0,0,0
1170335805,inf,0,0,0,0,0
1171339269,inf,0,0,0,0,0
1172353943,inf,0,0,0,0,0
1173357450,inf,0,0,0,0,0
1174372597,inf,0,0,0,0,0
1175380673,inf,0,0,0,0,0
1176394526,inf,0,0,0,0,0
1177410923,inf,0,0,0,0,0
1178430304,inf,0,0,0,0,0
1179439271,inf,0,0,0,0,0
1180459784,inf,0,0,0,0,0
1181466150,inf,0,0,0,0,0
1182467269,inf,0,0,0,0,0
1183473551,inf,0,0,0,0,0
1184473925,inf,0,0,0,0,0
1185487493,inf,0,0,0,0,0
1186491864,inf,0,0,0,0,0
1187498107,inf,0,0,0,0,0
1188505313,inf,0,0,0,0,0
1189522274,inf,0,0,0,0,0
1190530399,inf,0,0,0,0,0
1191532852,inf,0,0,0,0,0
1192548622,inf,0,0,0,0,0
1193559262,inf,0,0,0,0,0
1194577474,inf,0,0,0,0,0
1195588288,inf,0,0,0,0,0
1195837323,inf,0,0,0,0,1
1196740675,inf,0,0,0,0,0
1197756295,inf,0,0,0,0,0
1198606270,inf,0,0,0,0,1
1198647156,inf,0,0,0,0,0
1199421416,inf,0,0,0,0,1
1199483702,inf,0,0,0,0,0
1199817194,inf,0,0,0,0,1
1199900367,inf,0,0,0,0,0
1200527270,inf,0,0,0,0,1
1201536324,inf,0,0,0,0,1
1202546135,inf,0,0,0,0,1
1202566263,inf,0,0,0,0,0
1202586689,inf,0,0,0,0,1
1202608528,inf,0,0,0,0,0
1203629352,inf,0,0,0,0,0
1204636283,inf,0,0,0,0,0
1205643274,inf,0,0,0,0,0
1206650369,inf,0,0,0,0,0
1207668650,inf,0,0,0,0,0
1208681937,inf,0,0,0,0,0
1209684115,inf,0,0,0,0,0
1210685477,inf,0,0,0,0,0
1211701475,inf,0,0,0,0,0
1212721319,inf,0,0,0,0,0
1213722310,inf,0,0,0,0,0
1214734643,inf,0,0,0,0,0
1215755123,inf,0,0,0,0,0
1216770262,inf,0,0,0,0,0
1217771224,inf,0,0,0,0,0
1218774268,inf,0,0,0,0,0
1219775274,inf,0,0,0,0,0
1220788553,inf,0,0,0,0,0
1221806286,inf,0,0,0,0,0
1222818653,inf,0,0,0,0,0
1223828334,inf,0,0,0,0,0
1224843194,inf,0,0,0,0,0
1225843272,inf,0,0,0,0,0
1226862309,inf,0,0,0,0,0
1227364294,inf,0,0,0,0,1
1228369204,inf,0,0,0,0,1
1228855563,inf,0,0,0,0,0
1229872791,inf,0,0,0,0,0
1230894243,inf,0,0,0,0,0
1231896817,inf,0,0,0,0,0
1232898308,inf,0,0,0,0,0
1233773337,inf,0,0,0,0,1
1234373618,inf,0,0,0,0,0
1235163311,inf,0,0,0,0,1
1235227076,inf,0,0,0,0,0
1235309359,inf,0,0,0,0,1
1235331018,inf,0,0,0,0,0
1236331264,inf,0,0,0,0,0
1237317132,inf,0,0,0,0,1
1238008594,inf,0,0,0,0,0
1238029708,inf,0,0,0,0,1
1238174518,inf,0,0,0,0,0
1239189616,inf,0,0,0,0,0
1240193322,inf,0,0,0,0,0
1241198270,inf,0,0,0,0,0
1241283110,inf,0,0,0,0,1
1241448379,inf,0,0,0,0,0
1242455275,inf,0,0,0,0,0
1243460643,inf,0,0,0,0,0
1244479263,inf,0,0,0,0,0
